basin_id,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,num_years_hydro,start_date_hydro,end_date_hydro,num_years_climatic,start_date_climatic,end_date_climatic
DEBY0769,2.979,0.822,1.171,1.548,0.756,229.788,13.14,1.134,6.33,0.279,1.727,,,0.0,3.618,1.877,0.519,0.423,0.187,14.749,1.181,Summer,203.116,3.452,Fall,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0770,0.688,0.303,1.613,2.993,0.446,137.186,26.02,0.068,2.613,19.64,2.389,87.059,8.458,0.0,2.232,2.041,0.915,0.065,0.092,16.886,1.175,Summer,225.512,4.083,Spring,68.0,1956-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0771,0.918,0.417,2.395,2.924,0.566,140.184,29.172,0.132,2.856,11.528,2.021,58.048,10.175,0.0,2.166,1.99,0.919,0.012,0.074,16.777,1.162,Summer,226.37,4.062,Spring,58.0,1966-11-01 00:00:00,2023-04-04 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0772,3.109,0.684,1.256,1.957,0.671,211.076,18.688,0.868,7.725,0.338,2.556,4.036,4.911,0.0,4.532,1.911,0.422,0.356,0.179,14.3,1.218,Summer,197.211,3.38,Fall,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0773,0.738,0.36,0.766,0.755,0.808,163.621,17.507,0.415,1.447,0.382,2.167,,,0.0,2.028,2.097,1.034,0.129,0.081,17.062,1.19,Summer,232.343,4.173,Fall,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0774,1.046,0.427,1.348,1.223,0.741,161.231,17.092,0.425,2.384,0.944,1.345,0.17,1.75,0.0,2.363,2.062,0.873,0.037,0.082,17.348,1.17,Summer,227.213,4.082,Spring,48.0,1976-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBY0776,0.955,0.39,1.264,2.039,0.703,154.581,24.385,0.252,2.558,1.802,1.538,2.462,2.929,0.0,2.403,2.074,0.863,-0.006,0.049,16.641,1.161,Summer,223.744,4.045,Spring,40.0,1984-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0777,0.504,0.256,1.014,0.975,0.75,161.742,17.912,0.222,1.025,1.104,2.152,0.311,5.0,0.0,1.956,2.182,1.115,0.312,0.065,18.11,1.199,Summer,236.697,4.144,Fall,71.0,1953-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0778,2.03,0.675,1.228,1.869,0.648,180.452,22.879,0.558,5.585,1.68,1.35,4.65,3.147,0.0,2.964,1.98,0.668,0.066,0.166,16.804,1.218,Summer,214.151,3.747,Fall,71.0,1953-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0779,0.689,0.358,1.959,2.252,0.513,146.111,25.978,0.121,2.535,14.383,2.436,28.32,4.905,0.0,1.879,2.168,1.154,0.126,0.056,18.097,1.166,Summer,238.466,4.241,Spring,45.0,1979-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0780,1.309,0.506,1.784,5.43,0.452,133.548,28.584,0.074,5.445,27.655,5.756,140.377,18.851,0.0,2.458,1.918,0.781,-0.022,0.113,17.321,1.173,Winter,220.805,3.941,Spring,40.0,1984-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0781,1.747,0.583,1.387,1.848,0.672,171.732,22.457,0.542,4.609,1.715,1.493,1.115,6.5,0.0,2.949,1.986,0.673,0.07,0.163,16.804,1.218,Summer,215.144,3.775,Fall,65.0,1959-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0782,0.393,0.222,0.888,0.927,0.79,168.098,18.451,0.186,0.736,1.069,1.5,0.394,10.5,0.0,1.732,2.195,1.267,0.227,0.056,18.355,1.183,Summer,242.806,4.248,Spring,60.0,1964-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0783,1.084,0.445,1.272,1.194,0.784,183.758,20.232,0.478,2.159,,,0.044,1.0,0.0,2.416,2.075,0.859,0.286,0.082,12.613,1.175,Summer,203.511,3.66,Fall,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0784,0.742,0.361,1.42,1.51,0.714,156.924,23.515,0.236,1.897,0.91,2.818,1.908,4.194,0.0,2.036,2.104,1.034,0.111,0.068,15.579,1.168,Summer,225.186,4.034,Spring,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0785,1.228,0.554,1.692,2.665,0.595,144.557,26.402,0.196,4.03,5.371,2.073,40.123,8.552,0.0,2.179,1.953,0.896,-0.023,0.088,17.212,1.178,Winter,226.778,4.068,Spring,70.0,1954-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0786,4.314,1.024,1.018,3.168,0.619,248.167,8.673,0.874,13.44,3.155,1.453,16.76,9.597,0.0,4.19,1.835,0.438,0.408,0.187,14.817,1.221,Summer,194.218,3.302,Fall,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0787,1.09,0.46,1.436,2.323,0.606,148.53,28.077,0.215,3.32,4.08,2.317,19.593,7.216,0.0,2.34,1.99,0.85,0.034,0.099,15.879,1.172,Summer,220.614,3.95,Spring,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0788,3.973,0.904,1.546,2.53,0.527,209.132,17.892,0.758,12.332,4.484,1.355,22.82,7.337,0.0,4.324,1.977,0.457,0.309,0.127,15.498,1.189,Summer,199.538,3.519,Fall,62.0,1962-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0789,2.998,0.743,1.174,1.426,0.789,217.833,17.208,1.176,6.117,,,,,0.0,4.02,1.939,0.482,0.394,0.168,14.028,1.206,Summer,195.061,3.365,Fall,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0790,0.525,0.269,1.743,1.737,0.617,152.341,24.507,0.132,1.487,4.947,1.636,5.285,2.941,0.0,1.902,2.151,1.131,0.245,0.065,17.729,1.17,Summer,236.588,4.147,Fall,55.0,1969-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBY0792,3.585,0.72,1.326,2.507,0.479,184.891,22.591,0.585,12.062,8.103,1.572,35.169,6.468,0.0,4.945,1.96,0.396,0.221,0.129,15.266,1.189,Summer,196.939,3.514,Fall,74.0,1950-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0793,4.39,1.016,1.164,1.524,0.681,209.333,16.186,1.401,10.438,1.145,1.322,1.027,7.0,0.0,4.293,1.978,0.461,0.347,0.159,14.668,1.226,Summer,196.762,3.365,Fall,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0794,0.886,0.372,0.806,1.074,0.663,174.019,25.105,0.348,2.021,2.901,1.381,0.142,2.667,0.0,2.35,2.149,0.914,0.356,0.069,17.77,1.192,Summer,229.295,3.931,Fall,63.0,1961-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0795,4.517,0.927,1.148,2.35,0.657,231.045,13.581,0.892,12.081,0.602,1.171,19.431,10.942,0.0,4.86,1.729,0.356,0.262,0.241,14.709,1.227,Summer,196.64,3.497,Fall,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0796,5.502,1.277,1.048,2.997,0.645,246.579,16.439,0.905,16.058,2.082,1.464,37.715,13.669,0.0,4.332,1.727,0.399,0.304,0.246,15.402,1.215,Summer,199.396,3.519,Fall,61.0,1957-11-01 00:00:00,2017-07-28 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0797,2.665,0.59,1.192,1.239,0.751,210.185,17.593,1.161,5.717,0.639,1.344,,,0.0,4.475,1.841,0.411,0.376,0.181,15.267,1.228,Summer,195.407,3.327,Fall,74.0,1950-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0798,0.936,0.301,0.893,1.456,0.627,190.919,31.79,0.256,2.465,1.577,1.55,5.088,3.571,0.0,3.08,2.126,0.69,0.486,0.069,16.749,1.195,Summer,214.246,3.564,Fall,46.0,1978-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0799,3.212,0.781,1.08,1.736,0.705,217.591,14.171,1.107,7.554,0.602,1.242,0.015,1.0,0.0,4.098,1.868,0.456,0.407,0.203,14.314,1.213,Summer,195.211,3.361,Fall,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0800,3.551,0.79,0.964,1.151,0.761,213.803,15.595,1.631,7.457,0.528,1.286,,,0.0,4.484,1.921,0.428,0.361,0.197,14.504,1.221,Summer,197.851,3.409,Fall,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0801,3.479,0.841,1.337,1.974,0.702,225.123,12.267,1.017,8.418,0.535,1.2,0.877,2.269,0.0,4.119,1.83,0.444,0.411,0.204,14.668,1.213,Summer,194.612,3.327,Fall,74.0,1950-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0802,1.573,0.491,1.433,1.296,0.785,208.758,24.563,0.634,3.092,,,0.029,2.0,0.0,3.197,2.046,0.64,0.474,0.095,15.743,1.192,Summer,209.525,3.486,Fall,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0803,3.193,0.778,1.48,1.448,0.68,205.591,18.248,1.081,7.458,1.145,1.2,0.264,3.6,0.0,4.081,2.038,0.499,0.343,0.119,14.872,1.224,Summer,199.157,3.413,Fall,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0804,0.7,0.34,1.45,1.57,0.716,155.961,21.73,0.247,1.795,0.938,3.571,1.032,5.0,0.0,2.0,2.103,1.051,0.1,0.064,15.226,1.166,Summer,223.716,4.01,Spring,60.0,1964-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0805,1.485,0.576,1.566,3.391,0.479,137.672,29.332,0.099,5.335,12.56,3.413,94.508,13.582,0.0,2.551,1.908,0.748,-0.031,0.121,16.967,1.18,Summer,215.648,3.86,Spring,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0806,1.609,0.448,1.103,1.141,0.794,202.246,28.776,0.644,3.106,0.119,1.6,1.545,6.118,0.0,3.575,2.121,0.593,0.405,0.085,15.824,1.195,Summer,207.443,3.512,Fall,74.0,1950-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0807,1.017,0.458,0.731,0.865,0.853,170.241,15.585,0.547,1.868,0.017,1.0,,,0.0,2.189,2.054,0.938,0.098,0.09,17.511,1.197,Summer,229.934,4.107,Spring,67.0,1957-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0808,1.907,0.51,1.493,2.196,0.504,190.152,29.042,0.376,6.062,6.648,1.49,19.285,4.5,0.0,3.726,2.014,0.541,0.324,0.102,15.811,1.168,Summer,203.851,3.544,Fall,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0809,0.481,0.265,1.263,1.675,0.668,162.644,30.364,0.121,1.209,3.425,1.742,7.822,6.167,0.0,1.815,2.137,1.177,0.183,0.063,17.96,1.186,Summer,239.649,4.189,Spring,54.0,1970-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0810,0.659,0.3,1.339,2.066,0.606,145.667,23.756,0.15,2.016,6.908,2.234,9.797,9.644,0.0,2.161,1.913,0.885,0.037,0.096,16.124,1.174,Summer,220.287,3.93,Spring,51.0,1973-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0811,1.545,0.657,1.506,2.908,0.515,145.894,29.868,0.193,5.501,10.435,3.261,58.823,9.172,0.0,2.325,1.927,0.829,0.047,0.117,16.124,1.166,Summer,218.423,3.851,Spring,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0813,1.127,0.298,1.653,1.198,0.699,231.909,18.927,0.388,2.879,2.554,2.677,0.866,11.8,0.0,3.778,1.796,0.475,0.411,0.214,14.232,1.169,Summer,201.633,3.445,Fall,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0814,2.69,0.873,1.665,1.805,0.611,188.605,23.437,0.687,8.639,3.002,1.862,2.432,5.158,0.0,2.964,1.98,0.668,0.066,0.166,16.804,1.218,Summer,214.151,3.747,Fall,47.0,1977-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0815,2.272,0.603,1.455,1.715,0.598,179.569,29.145,0.599,6.09,3.508,1.417,7.317,4.382,0.0,3.743,2.134,0.57,0.355,0.071,16.028,1.231,Summer,205.307,3.469,Fall,60.0,1964-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0816,1.632,0.596,1.232,1.76,0.661,165.145,26.376,0.444,4.184,2.053,1.375,4.417,4.0,0.0,2.694,2.064,0.766,0.13,0.109,16.913,1.202,Summer,219.798,3.894,Fall,71.0,1953-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0817,1.909,0.63,1.393,1.593,0.697,181.076,23.101,0.584,4.834,0.837,1.188,1.527,3.467,0.0,3.001,1.969,0.656,0.086,0.162,16.083,1.211,Summer,212.369,3.772,Fall,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0818,2.712,0.656,1.578,1.966,0.578,194.227,22.979,0.687,7.559,1.857,1.41,5.701,5.388,0.0,4.095,1.978,0.483,0.36,0.125,15.321,1.189,Summer,200.898,3.496,Fall,53.0,1971-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0819,4.167,0.832,1.362,2.396,0.514,194.15,22.215,0.663,13.106,5.377,1.335,33.416,7.01,0.0,4.945,1.96,0.396,0.221,0.129,15.266,1.189,Summer,196.939,3.514,Fall,69.0,1955-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0820,0.615,0.327,1.85,2.415,0.442,146.745,29.645,0.075,2.595,22.169,3.946,67.602,7.214,0.0,1.886,2.122,1.125,0.167,0.066,17.566,1.184,Summer,236.765,4.141,Spring,56.0,1968-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0821,1.833,0.497,1.636,1.554,0.555,170.841,29.974,0.487,5.191,5.788,1.433,4.125,3.131,0.0,3.688,2.149,0.583,0.363,0.064,16.219,1.221,Summer,205.348,3.473,Fall,53.0,1971-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0823,4.594,0.887,0.621,2.212,0.6,224.25,6.861,0.973,12.263,2.007,1.118,16.055,7.6,0.0,5.257,1.72,0.327,0.236,0.241,14.878,1.234,Summer,195.236,3.471,Fall,16.0,2008-09-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0824,1.04,0.477,1.178,1.322,0.696,162.193,20.209,0.354,2.617,2.361,1.4,1.13,2.393,0.0,2.172,2.011,0.926,0.187,0.099,16.94,1.185,Summer,226.9,4.064,Fall,66.0,1958-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0825,2.479,0.673,1.241,2.05,0.514,217.778,20.963,0.627,7.574,5.208,1.318,4.579,3.923,0.0,3.865,1.86,0.481,0.434,0.162,15.757,1.171,Summer,202.933,3.448,Fall,17.0,2007-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0826,4.143,1.085,1.145,1.911,0.63,227.571,15.319,1.045,10.588,1.503,1.333,8.132,2.59,0.0,3.865,1.86,0.481,0.434,0.162,15.757,1.171,Summer,202.933,3.448,Fall,44.0,1980-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0827,0.896,0.434,1.26,1.936,0.668,163.241,24.825,0.248,2.417,1.762,2.077,4.192,3.427,0.0,2.036,1.983,0.974,0.174,0.104,16.94,1.178,Summer,229.118,4.105,Fall,69.0,1955-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0828,0.582,0.243,1.21,1.692,0.673,153.852,25.925,0.171,1.518,2.642,1.637,2.974,5.222,0.0,2.359,2.009,0.851,0.052,0.099,16.368,1.17,Summer,223.417,4.029,Spring,70.0,1954-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0829,0.557,0.291,1.601,2.224,0.609,148.697,25.306,0.11,1.742,5.856,5.466,19.079,9.701,0.0,1.894,2.131,1.125,0.202,0.067,16.926,1.19,Summer,235.01,4.096,Fall,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0830,0.768,0.321,0.886,0.922,0.585,166.875,31.1,0.284,1.885,6.559,1.585,0.67,11.5,0.0,2.349,2.149,0.915,0.356,0.069,17.811,1.193,Summer,229.2,3.933,Fall,41.0,1983-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0831,0.864,0.215,2.72,1.852,0.573,229.708,33.085,0.126,3.272,16.032,5.238,59.119,20.832,0.0,3.995,1.969,0.493,0.384,0.152,14.069,1.212,Summer,195.782,3.376,Fall,74.0,1950-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBY0833,0.828,0.391,0.907,1.249,0.715,158.028,20.789,0.294,1.988,0.668,1.647,0.93,6.5,0.0,2.051,2.101,1.025,0.11,0.069,15.566,1.167,Summer,224.764,4.032,Spring,49.0,1975-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0834,2.181,0.591,1.575,1.785,0.623,194.185,24.658,0.632,5.618,1.04,1.296,2.481,3.151,0.0,3.67,2.005,0.546,0.373,0.108,15.321,1.179,Summer,203.497,3.521,Fall,74.0,1950-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBY0836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBY0837,0.744,0.371,1.861,2.405,0.647,151.688,27.056,0.157,2.184,3.996,2.209,14.412,8.146,0.0,1.974,2.017,1.022,0.035,0.08,17.117,1.161,Summer,230.506,4.114,Spring,57.0,1967-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0838,0.174,0.048,0.009,0.105,0.922,181.636,5.43,0.127,0.194,,,0.312,11.0,0.0,3.627,1.816,0.501,0.387,0.185,14.981,1.201,Summer,199.225,3.453,Fall,42.0,1982-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBY0840,1.23,0.586,1.082,1.338,0.709,161.711,23.884,0.45,2.934,1.247,1.341,0.338,1.6,0.0,2.082,2.029,0.974,0.193,0.093,16.749,1.187,Summer,228.479,4.067,Fall,54.0,1970-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0841,3.443,0.839,1.356,2.123,0.686,226.424,12.494,0.951,8.48,0.748,1.342,1.776,5.261,0.0,4.085,1.828,0.448,0.415,0.207,14.736,1.218,Summer,194.68,3.331,Fall,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0842,2.414,0.806,1.28,1.535,0.695,188.185,23.536,0.705,6.429,1.01,1.447,4.755,5.161,0.0,2.973,1.92,0.646,0.088,0.19,16.613,1.225,Summer,212.382,3.724,Fall,74.0,1950-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0843,0.841,0.399,1.341,1.917,0.664,153.333,29.051,0.196,2.385,2.245,2.55,11.257,7.102,0.0,2.084,2.023,0.971,0.122,0.1,16.464,1.178,Summer,228.057,4.117,Spring,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0844,1.264,0.514,1.498,2.948,0.525,142.364,29.286,0.149,4.394,9.701,3.209,66.587,10.406,0.0,2.429,1.943,0.8,0.003,0.11,16.232,1.168,Summer,217.988,3.9,Spring,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0845,1.233,0.557,1.486,3.028,0.559,147.421,28.625,0.149,4.18,7.639,3.307,59.304,14.654,0.0,2.185,2.058,0.942,0.083,0.072,17.525,1.166,Summer,228.846,4.089,Spring,66.0,1958-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBY0847,3.196,0.832,1.225,1.97,0.587,218.122,19.742,0.767,8.884,2.309,1.299,7.459,5.475,0.0,3.865,1.86,0.481,0.434,0.162,15.757,1.171,Summer,202.933,3.448,Fall,50.0,1974-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0848,1.392,0.596,1.377,2.085,0.643,156.444,33.759,0.256,3.954,2.389,2.261,21.883,6.678,0.0,2.301,1.995,0.867,0.053,0.106,16.505,1.17,Summer,224.369,4.046,Spring,72.0,1952-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0850,1.282,0.531,1.566,2.343,0.591,148.807,28.057,0.246,4.058,5.306,2.759,22.271,6.583,0.0,2.377,2.007,0.844,0.049,0.098,16.736,1.169,Summer,223.063,4.019,Spring,68.0,1956-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0851,2.197,0.563,0.844,3.125,0.378,200.667,34.511,0.169,7.901,15.345,1.588,73.789,6.602,0.0,4.045,1.991,0.492,0.329,0.119,15.375,1.184,Summer,200.803,3.513,Fall,17.0,2007-08-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0852,1.537,0.641,0.998,3.313,0.521,139.231,26.426,0.144,5.548,10.362,2.098,79.388,9.817,0.0,2.332,1.891,0.811,-0.017,0.097,16.668,1.168,Summer,221.662,3.975,Spring,48.0,1976-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0853,0.819,0.361,1.555,1.934,0.612,150.939,31.077,0.187,2.435,5.841,2.151,10.949,5.329,0.0,2.24,2.038,0.91,0.06,0.09,16.464,1.172,Summer,225.73,4.077,Spring,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0854,1.77,0.463,1.235,1.345,0.752,180.909,24.283,0.691,3.799,0.132,4.5,0.455,1.348,0.0,3.8,2.115,0.557,0.347,0.08,15.62,1.232,Summer,204.735,3.471,Fall,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0855,1.227,0.287,1.87,1.689,0.605,214.754,27.566,0.193,3.967,4.071,3.011,28.438,13.574,0.0,4.259,1.958,0.46,0.362,0.16,14.273,1.216,Summer,197.905,3.388,Fall,74.0,1950-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0856,1.393,0.526,1.399,1.736,0.636,158.475,23.196,0.411,3.839,3.877,1.402,0.662,2.333,0.0,2.569,2.02,0.786,0.195,0.106,16.654,1.186,Summer,220.437,3.923,Fall,49.0,1975-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0857,0.72,0.312,1.096,0.913,0.659,165.152,23.899,0.29,1.705,3.801,1.66,0.675,3.833,0.0,2.294,2.148,0.936,0.382,0.066,18.192,1.202,Summer,231.486,4.01,Fall,74.0,1950-01-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0858,0.763,0.353,1.119,0.985,0.74,156.157,19.727,0.347,1.715,1.069,1.676,0.075,1.0,0.0,2.09,2.081,0.995,0.1,0.084,17.675,1.182,Summer,231.554,4.183,Spring,60.0,1964-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
DEBY0859,0.629,0.331,1.89,2.183,0.588,154.184,27.617,0.139,2.094,7.699,3.062,11.987,4.805,0.0,1.87,2.171,1.161,0.129,0.055,18.056,1.166,Summer,238.139,4.233,Spring,58.0,1966-11-01 00:00:00,2023-05-12 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
