basin_id,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,num_years_hydro,start_date_hydro,end_date_hydro,num_years_climatic,start_date_climatic,end_date_climatic
AT000019,3.134,0.69,1.195,2.337,0.5,209.73,30.653,0.537,9.449,5.289,1.322,28.262,5.565,0.0,4.507,1.983,0.44,0.32,0.1,15.947,1.18,Summer,201.742,3.541,Fall,38.0,1984-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000020,5.856,1.219,1.036,3.306,0.584,239.369,10.477,0.804,19.303,4.97,1.665,59.181,13.196,0.0,4.807,1.635,0.34,0.26,0.285,14.791,1.235,Summer,196.709,3.498,Fall,66.0,1956-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000021,5.093,1.002,1.286,3.028,0.591,233.757,12.249,0.674,15.944,2.141,1.345,50.577,11.473,0.0,5.062,1.792,0.354,0.259,0.207,14.736,1.201,Summer,195.225,3.455,Fall,71.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000022,5.089,0.999,1.295,2.849,0.581,230.943,12.436,0.759,15.715,2.099,1.263,44.633,10.092,0.0,5.075,1.84,0.363,0.263,0.182,14.804,1.185,Summer,195.66,3.467,Fall,71.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000023,3.715,0.714,1.298,2.622,0.47,200.9,31.83,0.492,12.0,7.032,1.354,47.483,6.752,0.0,5.128,1.891,0.369,0.265,0.16,15.062,1.186,Summer,196.367,3.478,Fall,31.0,1991-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000024,6.016,1.138,1.169,3.679,0.501,234.057,11.245,0.527,21.022,10.789,1.802,86.464,10.3,0.0,5.253,1.72,0.327,0.237,0.241,14.951,1.23,Summer,195.302,3.471,Fall,71.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000025,6.011,1.122,1.091,2.971,0.443,208.04,23.41,0.682,21.129,10.499,1.46,64.612,7.059,0.0,5.253,1.72,0.327,0.237,0.241,14.951,1.23,Summer,195.302,3.471,Fall,26.0,1996-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000026,10.946,2.043,0.212,2.643,0.539,208.174,21.689,2.106,33.581,1.458,1.167,21.127,5.452,0.0,5.251,1.738,0.331,0.239,0.232,14.899,1.226,Summer,195.551,3.473,Fall,24.0,1998-01-02 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000027,3.525,0.706,0.499,2.824,0.495,201.569,28.407,0.456,12.191,8.909,1.589,59.165,6.218,0.0,4.965,1.878,0.378,0.239,0.165,14.464,1.189,Summer,194.299,3.454,Fall,66.0,1956-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000028,3.788,0.885,1.138,2.505,0.444,178.133,25.871,0.593,13.355,11.295,1.424,39.656,5.436,0.0,4.212,2.062,0.49,0.254,0.082,16.477,1.183,Summer,207.048,3.68,Fall,61.0,1961-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000029,4.852,0.975,1.171,2.247,0.577,213.914,19.376,0.77,13.348,1.254,1.171,32.366,3.737,0.0,4.958,1.887,0.381,0.255,0.161,14.6,1.184,Summer,195.469,3.473,Fall,71.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000030,3.139,0.73,1.457,2.877,0.415,196.788,37.755,0.292,11.395,13.112,1.575,68.737,6.032,0.005,4.202,2.063,0.491,0.255,0.082,16.464,1.18,Summer,207.919,3.687,Fall,55.0,1967-03-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000032,1.79,0.503,-1.039,1.871,0.482,,,0.51,5.102,3.992,2.0,3.992,4.0,0.0,4.166,2.065,0.496,0.258,0.08,16.505,1.179,Summer,208.151,3.694,Fall,1.0,1976-01-01 00:00:00,1976-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000033,5.448,1.455,0.208,4.298,0.649,253.86,10.504,0.523,17.658,2.647,2.7,91.156,23.129,0.0,3.767,1.445,0.384,0.338,0.361,15.956,1.217,Summer,205.803,3.598,Fall,51.0,1971-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
