basin_id,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens
ITIS0043,2242.92,1525.207,954.643,18.698,3.983,62.609,0.599,0.097
ITIS0044,2266.717,1514.195,868.721,18.282,3.853,60.127,0.581,0.106
ITIS0045,2220.261,1431.81,896.661,15.522,3.507,45.6,0.571,0.08
ITIS0046,1251.623,933.011,810.162,9.005,20.358,17.032,0.645,0.087
ITIS0047,2270.194,1382.609,715.596,15.211,8.923,45.508,0.598,0.148
ITIS0048,2270.194,1291.142,263.652,14.519,7.54,40.703,0.538,0.144
ITIS0049,2776.3,1437.024,398.948,15.723,1.383,43.428,0.54,0.099
ITIS0050,2776.3,1207.635,270.473,14.95,1.482,37.774,0.718,0.105
ITIS0051,2776.3,1716.684,318.075,28.896,0.769,84.573,0.597,0.084
ITIS0052,2776.3,1716.684,318.075,28.896,0.769,84.573,0.597,0.084
ITIS0053,2776.3,1712.914,309.57,28.848,0.767,84.385,0.596,0.086
ITIS0054,2776.3,1019.731,-0.488,13.87,9.01,35.399,0.538,0.15
ITIS0055,2776.3,1038.02,16.185,14.061,8.202,36.076,0.555,0.15
ITIS0056,1397.819,375.798,12.968,9.642,10.455,12.698,0.529,0.137
ITIS0057,1515.836,1002.874,755.212,8.765,12.504,12.48,0.598,0.158
ITIS0058,1515.836,984.634,717.873,9.332,11.465,15.017,0.561,0.177
ITIS0059,1727.703,972.684,472.354,11.386,2.208,20.479,0.661,0.08
ITIS0060,1727.703,818.524,250.643,11.224,4.675,21.342,0.639,0.162
ITIS0061,1727.703,615.743,12.348,11.084,5.871,20.91,0.614,0.159
ITIS0062,2030.17,885.46,473.979,11.799,16.05,29.429,0.699,0.142
ITIS0063,2030.17,885.46,473.979,11.799,16.05,29.429,0.699,0.142
ITIS0064,2030.17,867.592,460.056,11.516,16.686,27.468,0.666,0.13
ITIS0065,2030.17,767.128,310.345,10.968,11.809,21.174,0.647,0.141
ITIS0066,2030.17,679.851,113.872,10.757,8.652,17.924,0.562,0.145
ITIS0067,2030.17,658.029,113.21,10.713,8.454,17.606,0.548,0.146
ITIS0068,705.226,494.695,273.268,10.486,0.533,13.926,0.664,0.0
ITIS0069,2030.17,559.038,-1.898,9.912,12.765,15.359,0.493,0.156
ITIS0070,1112.783,579.237,138.94,9.648,6.036,10.579,0.616,0.151
ITIS0071,1850.454,723.147,162.015,14.127,6.027,44.036,0.731,0.139
ITIS0072,2249.207,746.835,52.129,14.042,11.281,39.934,0.656,0.159
ITIS0073,2249.207,551.482,6.23,12.174,16.778,32.358,0.631,0.199
ITIS0074,1171.651,690.591,65.202,16.496,2.104,56.551,0.475,0.245
ITIS0075,1455.102,804.984,100.852,20.046,1.62,74.047,0.519,0.186
ITIS0076,1550.238,1136.568,936.653,9.882,12.426,21.972,0.608,0.126
ITIS0077,1921.738,1394.425,662.557,11.491,7.564,28.306,0.686,0.216
ITIS0078,1921.738,1450.284,1112.168,11.289,8.157,28.476,0.463,0.211
ITIS0079,1872.876,1441.129,1209.981,12.521,7.683,36.187,0.547,0.129
