basin_id,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens
AT000001,3555.408,1874.076,420.622,24.122,3.395,78.59,0.612,0.151
AT000002,2803.984,1773.178,674.209,26.095,0.463,87.662,0.539,0.151
AT000003,3293.054,1843.003,583.51,25.735,1.497,82.952,0.577,0.141
AT000004,2878.033,1890.429,1022.324,27.324,0.351,88.023,0.587,0.095
AT000005,2938.964,1772.902,567.275,28.647,1.719,83.629,0.612,0.134
AT000006,2671.37,1605.505,736.405,28.43,0.431,89.636,0.636,0.108
AT000007,3293.054,1659.784,481.164,25.714,3.396,81.664,0.601,0.153
AT000008,2504.599,1556.895,620.419,27.969,0.311,89.953,0.549,0.155
AT000009,3293.054,1608.043,436.82,25.236,4.022,80.088,0.569,0.156
AT000010,1957.546,1470.319,845.01,23.229,0.531,80.367,0.655,0.091
AT000011,1182.048,537.903,425.756,8.361,48.757,24.329,0.583,0.318
AT000012,1182.048,508.423,420.787,6.245,62.098,17.35,0.559,0.318
AT000013,3555.408,1767.254,401.239,23.842,4.997,77.263,0.609,0.158
AT000014,1931.307,1143.424,479.481,21.747,0.403,77.582,0.617,0.059
AT000015,1367.345,839.5,428.13,12.428,6.036,36.273,0.6,0.0
AT000016,1931.307,876.367,399.264,14.901,19.612,49.429,0.612,0.145
AT000017,1614.705,933.146,410.123,22.116,9.054,74.444,0.551,0.0
AT000018,1629.425,582.225,399.085,10.044,56.429,29.599,0.58,0.098
AT000019,1931.307,756.444,398.709,12.863,34.81,41.185,0.59,0.138
AT000020,2593.626,1708.788,956.926,26.98,1.186,84.219,0.641,0.096
AT000021,2593.626,1545.447,778.395,25.034,1.515,82.275,0.531,0.125
AT000022,2593.626,1460.884,678.607,24.638,2.074,80.6,0.537,0.149
AT000023,1807.943,1112.796,647.287,22.667,4.88,78.969,0.454,0.0
AT000024,2065.024,1474.611,986.675,21.698,2.274,69.913,0.693,0.019
AT000025,1808.134,1288.504,979.381,22.006,1.111,74.72,0.615,0.0
AT000026,1808.134,1226.559,750.662,18.492,2.11,64.053,0.559,0.178
AT000027,1808.134,1090.332,555.234,16.671,3.422,53.421,0.704,0.197
AT000028,1088.822,760.522,538.311,7.338,20.93,8.683,0.56,0.089
AT000029,2593.626,1115.442,423.531,17.837,5.6,54.832,0.711,0.185
AT000030,1066.283,756.889,411.871,13.207,5.678,37.653,0.611,0.0
AT000032,1064.038,631.546,399.677,5.765,32.535,5.455,0.579,0.197
AT000033,2769.187,2079.661,1459.349,24.343,1.193,79.858,0.662,0.065
AT000034,2769.187,1990.464,1440.928,24.655,1.324,79.226,0.549,0.121
AT000035,2844.404,1936.391,1111.932,26.255,0.803,83.77,0.57,0.136
AT000036,2608.519,1710.948,970.113,32.797,0.362,93.145,0.542,0.139
AT000037,2506.119,1689.912,941.594,29.91,0.405,92.158,0.654,0.14
AT000038,3009.3,1739.663,839.624,27.787,2.969,85.16,0.505,0.154
AT000039,2205.835,1270.698,800.975,19.318,10.245,61.666,0.654,0.187
AT000040,2724.039,1769.236,958.963,30.484,0.7,87.307,0.694,0.146
AT000041,2342.449,1397.551,967.135,20.206,5.31,62.586,0.77,0.059
AT000042,2735.749,1783.637,1197.402,27.638,1.322,81.562,0.656,0.125
AT000043,2849.686,1506.959,958.978,24.053,6.079,72.521,0.674,0.041
AT000044,3242.824,2278.657,980.277,27.216,0.301,87.788,0.686,0.11
AT000045,4020.411,2320.019,969.306,25.523,1.837,82.473,0.567,0.144
AT000046,4020.411,2282.757,859.958,25.582,1.782,82.749,0.528,0.141
AT000047,3492.719,2807.078,1874.943,21.028,1.863,64.253,0.63,0.054
AT000048,3118.003,2254.043,1320.135,26.36,0.554,85.602,0.646,0.1
AT000049,3370.006,2365.265,1546.773,26.295,0.951,81.734,0.652,0.168
AT000050,3370.006,2232.007,1024.307,26.401,0.569,85.717,0.604,0.143
AT000051,3370.006,2124.681,780.502,26.775,0.622,86.969,0.599,0.141
AT000052,2623.217,1537.685,814.68,26.136,2.877,79.989,0.675,0.064
AT000053,4020.411,2178.617,708.538,25.98,1.781,83.419,0.497,0.141
AT000054,3726.959,2544.309,1343.15,28.142,0.87,82.639,0.65,0.129
AT000055,3588.346,3122.227,2636.747,16.856,0.157,47.081,0.628,0.0
AT000056,3741.22,2890.406,1893.721,22.426,0.352,73.131,0.622,0.094
AT000057,3484.611,2777.818,1884.98,24.552,0.997,77.042,0.664,0.081
AT000058,3741.22,2622.288,1189.057,26.181,0.53,82.521,0.61,0.137
AT000059,3053.917,2357.69,1593.539,29.056,0.342,84.76,0.626,0.0
AT000060,3741.22,2483.838,926.469,26.892,1.457,82.819,0.595,0.142
AT000061,2970.966,2426.299,1908.342,28.772,0.373,85.923,0.615,0.0
AT000062,3741.22,2410.52,710.175,26.894,1.592,82.457,0.579,0.15
AT000063,4020.411,2211.3,655.456,26.194,1.741,83.148,0.53,0.144
AT000064,4020.411,2179.452,621.533,26.025,2.071,82.407,0.514,0.143
AT000065,3267.462,2154.472,825.513,27.629,0.375,87.936,0.676,0.148
AT000066,4020.411,2137.009,573.663,25.862,2.477,81.903,0.495,0.143
AT000067,2948.896,1959.595,1220.28,27.874,0.752,87.047,0.593,0.0
AT000068,2838.92,1850.943,1180.945,23.56,1.109,83.311,0.688,0.121
AT000069,3441.668,2023.352,1123.827,28.653,0.69,91.113,0.631,0.145
AT000070,3231.284,1946.456,1040.862,28.243,1.63,86.536,0.565,0.16
AT000071,3441.668,1910.033,1009.202,26.989,1.156,86.999,0.586,0.151
AT000072,2823.966,1922.839,1012.215,24.178,0.359,86.761,0.619,0.131
AT000073,3450.843,2367.966,1088.505,29.565,0.532,87.221,0.674,0.11
AT000074,3450.843,1897.522,573.787,26.252,1.319,84.844,0.62,0.153
AT000075,2838.159,1872.541,551.748,24.082,1.209,87.018,0.562,0.15
AT000076,2715.966,1746.605,551.688,23.274,0.741,87.615,0.631,0.103
AT000077,4020.411,2044.294,519.029,25.575,2.9,81.318,0.468,0.143
AT000078,3250.946,2242.052,1019.255,30.363,0.431,93.511,0.671,0.112
AT000079,3441.668,2506.844,1788.824,27.12,0.603,87.557,0.599,0.0
AT000080,3441.668,2277.477,903.82,30.354,0.801,92.291,0.67,0.136
AT000081,3324.457,2047.715,914.694,25.377,0.544,87.1,0.625,0.131
AT000082,3441.668,2129.678,628.21,29.531,0.753,91.508,0.662,0.153
AT000083,2689.495,2062.017,1388.679,24.313,0.103,88.86,0.674,0.0
AT000084,3441.668,2056.227,571.864,28.77,1.403,90.367,0.629,0.149
AT000085,3226.091,1956.724,1203.094,24.991,1.395,84.597,0.691,0.108
AT000086,3226.091,1863.997,571.561,25.262,1.296,86.141,0.654,0.139
AT000087,3441.668,1916.72,531.574,26.88,2.128,87.939,0.666,0.15
AT000088,4020.411,2008.938,508.911,25.635,2.953,81.906,0.471,0.145
AT000089,2212.298,1504.389,1006.062,26.297,0.689,82.902,0.811,0.0
AT000090,2157.078,1358.576,960.769,22.136,2.007,72.053,0.674,0.0
AT000091,2212.298,1233.211,539.637,23.298,0.918,79.855,0.617,0.132
AT000092,1678.465,1103.001,796.0,19.636,1.353,73.232,0.634,0.0
AT000093,2392.955,1378.367,635.604,21.848,1.249,80.723,0.649,0.146
AT000094,2457.376,1543.046,660.607,23.224,0.345,85.991,0.592,0.13
AT000095,2457.376,1318.132,524.195,20.859,2.705,75.922,0.618,0.161
AT000096,4020.411,1938.23,484.749,25.205,3.22,81.063,0.45,0.146
AT000097,1792.04,1078.661,632.508,17.881,5.763,65.014,0.586,0.0
AT000098,2283.728,1052.939,571.867,18.656,4.31,62.05,0.766,0.109
AT000099,2317.114,1234.395,483.843,29.754,0.668,91.644,0.625,0.146
AT000100,1540.287,882.627,612.578,18.11,6.828,51.037,0.617,0.0
AT000101,1281.328,868.321,695.265,14.45,3.292,42.584,0.567,0.0
AT000102,1977.19,902.3,477.222,17.856,5.443,53.902,0.722,0.099
AT000103,2265.045,1400.157,735.625,21.725,2.113,78.495,0.728,0.086
AT000104,2313.726,1462.64,814.723,23.072,1.149,83.012,0.567,0.131
AT000105,2317.114,1255.838,663.65,19.801,4.887,66.534,0.451,0.168
AT000106,2317.114,1289.482,653.63,20.015,4.728,69.398,0.657,0.144
AT000107,2081.596,1222.189,659.555,20.348,2.895,67.354,0.621,0.119
AT000108,2317.114,1193.853,586.986,19.928,5.448,66.484,0.624,0.155
AT000109,2255.959,1130.038,636.498,25.809,3.727,78.736,0.704,0.114
AT000110,2255.959,1019.428,592.988,21.31,7.276,66.018,0.597,0.144
AT000111,3420.115,2037.565,856.415,25.526,1.278,84.891,0.553,0.119
AT000112,3560.141,2747.894,1974.578,22.968,0.453,75.887,0.625,0.0
AT000113,3560.141,2289.66,881.355,27.767,0.483,86.931,0.577,0.157
AT000114,3261.355,2164.212,843.417,30.955,0.286,91.4,0.484,0.166
AT000115,3203.782,2057.067,878.246,31.619,0.23,95.241,0.593,0.131
AT000116,2258.378,1644.73,805.057,23.109,0.837,84.996,0.686,0.134
AT000117,3560.141,1907.056,776.875,25.714,2.731,83.826,0.774,0.154
AT000118,2889.698,1896.644,889.367,32.195,0.94,91.041,0.585,0.12
AT000119,2330.935,1718.098,775.061,23.828,1.059,89.205,0.498,0.0
AT000120,3421.828,1968.965,785.41,28.596,2.021,85.711,0.601,0.105
AT000121,3527.368,2043.46,768.196,29.414,2.286,87.326,0.553,0.136
AT000122,3533.2,2208.322,1147.263,28.176,1.522,85.823,0.71,0.09
AT000123,3533.2,1908.141,752.73,28.745,1.25,88.458,0.628,0.112
AT000124,3221.072,1981.525,1046.717,26.046,1.094,83.831,0.696,0.099
AT000125,3221.072,1860.981,916.386,26.439,1.462,84.873,0.63,0.134
AT000126,3089.074,2097.936,1118.03,28.649,1.55,86.903,0.729,0.14
AT000127,3189.875,1886.729,832.482,27.422,2.05,87.433,0.66,0.146
AT000128,3560.141,1735.796,600.133,25.762,3.584,83.842,0.556,0.147
AT000129,2869.602,1690.64,876.941,27.579,1.071,91.268,0.583,0.111
AT000130,2392.047,1204.913,633.259,21.086,1.444,67.007,0.556,0.125
AT000131,2380.998,1700.967,646.884,23.083,2.999,68.438,0.593,0.011
AT000132,2392.047,1191.389,466.633,21.703,2.356,67.45,0.673,0.141
AT000133,2370.823,1646.557,461.423,24.774,2.477,66.935,0.79,0.115
AT000134,3560.141,1571.4,461.423,24.776,3.042,80.762,0.497,0.15
AT000135,2687.237,1304.926,443.708,23.927,3.675,69.507,0.614,0.161
AT000136,3560.141,1473.84,411.122,23.921,4.317,76.929,0.531,0.155
AT000137,1241.912,593.004,412.885,9.019,27.571,20.347,0.625,0.096
AT000138,1867.852,792.353,420.528,13.486,27.254,36.081,0.589,0.012
AT000139,1014.865,599.454,497.325,5.086,41.471,4.72,0.703,0.13
AT000140,1014.865,591.439,427.952,4.921,41.456,3.863,0.634,0.159
AT000141,2324.867,1529.651,850.771,23.25,0.49,88.603,0.646,0.129
AT000142,2821.542,1332.295,728.493,22.05,4.554,72.811,0.633,0.128
AT000143,2587.668,1265.488,716.001,22.546,4.233,76.822,0.695,0.118
AT000144,2471.006,1237.035,618.833,26.176,5.999,79.92,0.665,0.183
AT000146,2821.542,1188.354,414.278,22.26,7.024,71.498,0.654,0.161
AT000147,687.664,479.845,405.554,5.339,41.856,5.355,0.57,0.095
AT000148,3560.141,1333.895,378.416,21.904,8.809,69.528,0.559,0.159
AT000149,576.391,464.729,412.556,2.974,61.767,0.185,0.641,0.052
AT000150,576.391,459.349,387.226,2.995,61.451,0.202,0.711,0.133
AT000151,788.948,562.676,492.347,4.116,49.104,1.732,0.549,0.121
AT000152,684.531,589.775,503.85,3.419,48.456,0.0,0.495,0.0
AT000153,788.948,552.833,449.431,3.85,52.094,1.491,0.583,0.159
AT000154,768.9,676.754,590.816,6.461,10.79,0.451,0.693,0.0
AT000155,768.9,639.345,504.728,6.85,12.923,1.769,0.631,0.13
AT000156,869.15,603.971,525.457,5.204,38.45,4.461,0.618,0.006
AT000157,869.15,594.517,506.169,4.792,42.986,3.725,0.645,0.092
AT000158,869.15,611.637,481.466,5.907,27.422,2.627,0.584,0.156
AT000159,869.15,595.559,430.982,5.807,30.896,3.037,0.666,0.197
AT000160,671.437,556.266,431.052,7.41,18.851,4.875,0.505,0.152
AT000161,869.15,547.932,354.245,4.74,43.342,2.212,0.559,0.203
AT000162,757.336,613.611,511.802,7.041,11.851,2.208,0.675,0.004
AT000163,768.9,597.276,458.553,8.003,13.014,4.872,0.569,0.115
AT000164,768.9,515.983,356.488,5.16,35.032,1.524,0.592,0.235
AT000165,709.114,495.829,360.265,4.962,35.704,0.592,0.49,0.193
AT000166,768.9,494.461,332.257,4.811,38.537,1.085,0.646,0.228
AT000167,765.884,554.339,408.602,4.996,33.68,1.703,0.495,0.22
AT000168,716.412,593.041,506.289,5.93,17.392,0.942,0.651,0.0
AT000169,716.412,528.974,428.828,4.27,36.87,0.316,0.72,0.123
AT000170,765.884,515.923,378.528,4.308,38.312,0.704,0.658,0.178
AT000171,565.107,442.874,356.751,4.048,37.97,0.048,0.547,0.162
AT000172,4020.411,1265.358,264.847,17.172,21.585,52.055,0.477,0.168
AT000173,719.776,501.713,432.973,4.303,36.641,1.734,0.57,0.0
AT000174,719.776,444.801,364.441,3.615,49.291,0.557,0.544,0.121
AT000175,719.776,420.279,339.279,3.635,46.854,0.289,0.504,0.164
AT000176,499.602,409.767,342.382,3.467,49.568,0.151,0.623,0.116
AT000177,774.028,478.71,331.418,5.659,21.175,0.835,0.872,0.145
AT000178,774.028,423.801,311.955,4.198,40.224,0.358,0.534,0.164
AT000179,931.984,693.93,494.843,7.537,11.515,4.317,0.766,0.13
AT000180,877.723,633.13,486.12,9.387,6.859,11.351,0.517,0.127
AT000181,930.022,599.296,289.918,8.418,9.96,8.722,0.601,0.142
AT000182,1367.983,768.174,589.001,7.326,16.029,5.975,0.745,0.088
AT000183,1367.983,756.143,506.052,7.933,13.43,8.204,0.558,0.143
AT000184,1064.59,754.276,504.882,7.572,11.624,4.95,0.651,0.166
AT000185,1367.983,747.237,483.048,7.863,12.23,7.077,0.498,0.156
AT000186,4020.411,826.694,254.238,9.373,39.659,22.433,0.588,0.185
AT000187,762.713,504.252,381.879,4.833,40.655,3.52,0.557,0.168
AT000188,762.713,449.006,336.955,3.961,49.003,1.629,0.544,0.153
AT000189,762.713,433.685,307.143,4.314,43.359,1.506,0.532,0.162
AT000190,486.747,412.379,378.724,3.13,55.855,0.0,0.631,0.054
AT000191,500.525,414.911,363.788,3.255,52.46,0.0,0.642,0.118
AT000192,500.525,410.147,361.971,3.126,56.104,0.0,0.682,0.177
AT000193,655.738,481.814,420.757,4.598,40.576,0.619,0.678,0.017
AT000194,655.738,434.941,316.177,3.952,48.621,0.909,0.68,0.154
AT000195,1109.01,771.938,616.742,5.232,28.75,0.932,0.615,0.086
AT000196,952.083,765.191,616.637,5.505,24.826,1.531,0.635,0.099
AT000197,1109.01,702.302,282.292,7.148,16.852,5.523,0.603,0.183
AT000198,944.882,714.634,362.563,10.826,7.298,22.604,0.697,0.026
AT000199,2453.433,1516.952,692.108,20.015,4.497,61.172,0.581,0.118
AT000200,2068.665,1530.517,702.215,17.929,6.703,49.671,0.464,0.153
AT000201,1822.464,1044.671,710.145,19.277,2.324,64.535,0.618,0.0
AT000202,1834.744,1260.66,759.18,14.042,7.744,42.604,0.71,0.027
AT000203,2453.433,1322.247,523.576,18.784,5.34,55.897,0.574,0.151
AT000204,2956.144,1761.707,528.432,23.046,1.213,70.125,0.584,0.031
AT000205,2960.407,1378.451,495.893,19.83,5.87,57.2,0.538,0.142
AT000206,2960.407,1306.072,459.959,19.836,6.041,57.874,0.635,0.149
AT000207,1784.705,897.476,530.756,19.11,15.759,58.803,0.617,0.138
AT000208,1932.04,922.709,470.611,20.131,11.255,62.098,0.684,0.149
AT000209,1852.405,940.206,481.78,24.326,0.877,80.602,0.584,0.063
AT000210,2960.407,1180.538,424.345,20.658,6.517,62.155,0.679,0.156
AT000211,1801.831,1021.671,428.515,25.939,2.061,79.669,0.605,0.173
AT000212,1108.751,645.431,502.394,8.172,25.161,15.69,0.661,0.174
AT000213,1291.247,811.646,653.859,15.108,11.979,45.477,0.645,0.045
AT000214,1291.247,730.19,492.579,10.664,17.083,24.832,0.602,0.197
AT000215,1676.242,692.893,472.74,10.996,21.076,28.022,0.594,0.208
AT000216,1804.169,947.46,474.319,22.134,2.693,74.714,0.651,0.092
AT000217,1804.169,695.485,465.395,11.806,24.184,32.733,0.613,0.183
AT000218,999.982,642.902,502.906,6.435,25.467,6.347,0.537,0.114
AT000219,784.707,588.76,470.969,6.242,20.417,3.178,0.832,0.098
AT000220,999.982,593.632,440.14,5.946,26.211,3.676,0.602,0.149
AT000221,1045.297,714.242,533.461,10.003,14.946,21.922,0.668,0.082
AT000222,1045.297,629.972,447.614,6.84,35.815,12.03,0.473,0.213
AT000223,1045.297,599.381,418.397,6.137,28.621,5.61,0.629,0.177
AT000224,1804.169,643.406,409.407,8.881,27.337,19.073,0.84,0.187
AT000225,1692.202,709.065,417.138,14.258,7.441,44.557,0.515,0.2
AT000226,1804.169,620.011,346.403,8.536,28.34,18.03,0.701,0.19
AT000227,2960.407,878.565,341.17,14.511,18.805,39.962,0.627,0.175
AT000228,552.547,437.264,370.292,4.116,40.049,0.612,0.656,0.076
AT000229,2501.162,1005.744,521.539,24.551,3.736,75.307,0.742,0.116
AT000230,2501.162,907.736,442.219,22.076,5.668,68.586,0.664,0.146
AT000231,1455.854,607.632,370.547,9.24,21.561,18.181,0.459,0.225
AT000232,2501.162,809.635,354.388,18.017,13.6,53.294,0.553,0.188
AT000233,2960.407,840.832,314.53,14.235,20.931,39.19,0.649,0.178
AT000234,653.997,437.538,329.37,2.631,66.778,0.0,0.421,0.218
AT000235,1566.957,655.723,413.925,15.054,22.935,47.497,0.695,0.057
AT000236,1566.957,531.21,342.696,8.867,30.482,20.179,0.537,0.153
AT000237,750.783,430.997,324.109,4.025,46.747,1.03,0.652,0.109
AT000238,1566.957,443.382,275.209,5.554,46.323,8.426,0.497,0.156
AT000239,416.845,345.464,259.92,2.953,61.082,0.0,0.532,0.121
AT000240,920.857,625.914,317.274,6.882,18.005,5.807,0.575,0.157
AT000241,900.216,606.707,332.911,8.983,8.858,13.486,0.57,0.168
AT000242,920.857,547.163,250.319,7.075,17.504,7.012,0.601,0.183
AT000243,2624.375,1439.413,831.39,21.847,5.61,73.447,0.546,0.162
AT000244,2439.762,1561.665,832.145,21.74,2.188,73.529,0.581,0.167
AT000245,2241.902,1569.999,885.008,21.888,0.81,75.434,0.577,0.111
AT000246,2807.88,1862.093,1015.363,31.555,0.999,89.598,0.651,0.092
AT000247,2960.407,1500.466,726.174,23.226,3.141,76.367,0.652,0.175
AT000248,2960.407,1441.119,633.518,22.866,4.307,73.514,0.644,0.175
AT000249,2328.898,1461.038,644.844,24.207,1.085,83.606,0.582,0.123
AT000250,2198.614,1425.788,641.722,24.168,1.567,85.119,0.626,0.184
AT000251,2960.407,1414.747,622.036,22.558,4.712,73.513,0.614,0.173
AT000252,2419.141,1311.715,630.309,22.372,4.998,78.301,0.593,0.149
AT000253,2960.407,1378.375,612.314,22.394,5.331,73.884,0.53,0.171
AT000254,2181.758,1209.617,491.657,26.323,1.199,83.738,0.697,0.147
AT000255,1960.21,1083.003,735.254,19.573,1.924,67.271,0.571,0.15
AT000256,1859.257,1166.468,671.481,21.163,1.762,69.179,0.591,0.106
AT000257,2262.57,1123.602,578.969,22.519,1.763,72.52,0.512,0.161
AT000258,2143.765,1013.046,430.958,25.225,0.677,82.833,0.564,0.169
AT000259,1457.852,699.179,389.99,19.629,4.118,68.821,0.571,0.085
AT000260,997.562,663.31,428.628,15.828,1.196,51.905,0.677,0.0
AT000261,1704.876,862.235,353.264,23.58,0.805,79.687,0.671,0.159
AT000262,2960.407,1186.359,285.119,22.603,3.79,74.068,0.427,0.169
AT000263,2262.979,1344.118,643.331,29.553,0.911,84.191,0.695,0.032
AT000264,2501.162,1502.449,614.559,29.721,0.804,89.801,0.647,0.0
AT000265,2501.162,1354.967,595.448,29.031,2.236,84.215,0.668,0.061
AT000266,2501.162,1215.386,475.784,26.214,1.935,79.371,0.681,0.095
AT000267,2356.679,1216.548,626.627,23.461,3.347,74.259,0.578,0.023
AT000268,2211.835,1035.262,608.891,19.561,3.657,62.0,0.845,0.104
AT000269,2356.679,1033.673,573.131,19.403,6.849,60.07,0.751,0.133
AT000270,1937.437,1264.825,608.312,26.565,0.535,84.994,0.812,0.0
AT000271,2356.679,1030.462,493.918,20.323,5.422,64.145,0.691,0.146
AT000272,1818.484,1145.555,527.203,26.091,0.545,87.822,0.582,0.0
AT000273,2132.266,960.339,500.272,24.174,0.985,80.875,0.657,0.104
AT000274,2501.162,1068.887,425.622,23.192,3.354,73.012,0.72,0.138
AT000275,1937.437,903.235,396.587,25.279,2.019,80.496,0.653,0.168
AT000276,1937.437,892.218,404.435,23.358,1.393,79.741,0.582,0.137
AT000277,1068.273,691.721,423.335,16.472,1.266,55.294,0.651,0.0
AT000278,2501.162,933.614,301.041,21.506,5.004,68.148,0.609,0.156
AT000279,2960.407,1144.637,285.119,22.369,4.098,72.892,0.459,0.168
AT000280,997.562,577.624,297.112,13.245,3.081,37.402,0.479,0.178
AT000281,932.321,716.531,545.032,5.386,31.645,1.747,0.555,0.185
AT000282,984.09,695.301,466.109,6.291,24.361,4.607,0.639,0.175
AT000283,1090.969,888.678,675.157,5.983,25.608,4.152,0.592,0.16
AT000284,1090.969,769.828,326.609,8.955,13.866,15.846,0.546,0.208
AT000285,1090.969,684.889,262.967,7.686,17.738,10.06,0.661,0.207
AT000286,674.838,343.719,240.78,3.695,50.048,0.129,0.457,0.181
AT000287,1014.788,832.986,566.217,7.149,15.872,5.458,0.62,0.138
AT000288,1046.46,857.248,617.481,9.089,8.643,12.899,0.641,0.048
AT000289,1046.46,684.856,236.132,8.301,15.651,11.546,0.483,0.225
AT000290,825.474,510.165,238.023,9.35,9.312,15.413,0.573,0.102
AT000291,1051.961,707.712,221.686,10.728,7.335,22.246,0.641,0.208
AT000292,1865.573,1048.585,594.131,19.61,2.208,63.193,0.631,0.142
AT000293,1837.817,1114.499,596.604,24.098,3.446,72.609,0.576,0.0
AT000294,1865.573,983.2,521.287,20.323,2.408,66.646,0.633,0.141
AT000295,1865.573,914.179,397.908,21.055,2.84,70.29,0.62,0.168
AT000296,1307.612,700.662,402.359,18.545,1.815,64.536,0.787,0.116
AT000297,948.402,437.128,305.448,6.844,34.094,9.805,0.652,0.148
AT000298,1865.573,685.967,257.293,15.33,13.377,46.808,0.561,0.176
AT000299,1617.557,990.065,783.237,15.193,8.836,49.256,0.637,0.023
AT000300,1879.143,1029.337,659.738,20.194,1.337,66.793,0.668,0.092
AT000301,1368.796,1006.855,796.479,15.438,4.267,48.821,0.606,0.0
AT000302,1879.143,923.572,384.931,19.037,2.968,62.996,0.586,0.159
AT000303,1290.315,726.849,395.522,19.503,2.049,66.16,0.508,0.04
AT000304,1120.293,679.657,358.516,20.571,1.246,75.213,0.727,0.061
AT000305,1879.143,825.641,331.884,19.21,2.79,65.264,0.607,0.156
AT000306,824.145,602.592,389.43,14.19,2.21,41.674,0.673,0.0
AT000307,1090.466,567.113,312.571,14.956,5.266,48.757,0.586,0.163
AT000308,1090.466,505.835,251.417,12.256,17.887,37.291,0.498,0.218
AT000309,1879.143,655.599,224.283,15.1,11.968,47.594,0.546,0.194
AT000310,1045.032,748.472,521.478,10.443,8.013,19.254,0.642,0.0
AT000311,1045.032,671.322,242.864,9.312,13.119,17.893,0.863,0.179
AT000312,4020.411,823.654,203.976,10.262,36.05,25.707,0.584,0.185
AT000313,918.613,398.996,252.917,7.943,16.516,10.99,0.637,0.118
AT000314,875.948,449.801,281.752,9.372,17.975,19.242,0.569,0.238
AT000315,918.613,368.986,214.724,7.085,25.231,10.029,0.732,0.161
AT000316,1310.916,825.247,477.826,20.417,0.894,71.986,0.627,0.045
AT000317,1310.916,748.498,391.299,18.528,1.872,63.883,0.705,0.138
AT000318,1310.916,652.032,310.206,17.003,3.443,56.62,0.598,0.138
AT000319,611.33,301.989,239.001,4.196,46.938,2.299,0.614,0.122
AT000320,963.054,623.704,321.18,13.8,3.502,44.617,0.587,0.044
AT000321,4020.411,819.183,191.134,10.259,35.885,25.704,0.576,0.185
AT000322,693.537,381.784,212.332,5.825,34.075,6.333,0.793,0.158
AT000323,1366.753,826.187,458.781,21.653,1.215,78.001,0.636,0.106
AT000324,1746.889,900.709,562.713,20.233,3.436,71.394,0.662,0.094
AT000325,1746.889,843.875,482.683,19.955,2.826,70.628,0.596,0.121
AT000326,1746.889,771.744,360.305,20.821,2.205,74.728,0.636,0.156
AT000327,1316.772,711.587,468.223,19.099,1.34,69.517,0.722,0.066
AT000328,1386.276,748.0,395.355,20.794,1.212,76.522,0.6,0.138
AT000329,1386.276,670.446,372.532,17.182,4.15,58.369,0.629,0.15
AT000330,1746.889,690.132,293.118,18.201,4.438,62.282,0.623,0.16
AT000331,1746.889,641.501,219.669,16.267,13.563,54.898,0.507,0.172
AT000332,1038.333,868.376,688.068,5.312,25.562,0.723,0.48,0.215
AT000333,1014.27,707.162,519.133,5.023,30.916,0.923,0.619,0.17
AT000334,1038.333,748.865,512.027,5.833,25.652,2.897,0.651,0.17
AT000335,922.274,799.896,723.868,3.508,51.071,0.044,0.621,0.086
AT000336,922.274,742.664,524.829,4.099,44.103,1.271,0.505,0.225
AT000337,1038.333,673.362,262.211,5.525,31.486,3.781,0.562,0.179
AT000338,614.652,480.74,307.848,3.755,56.085,2.039,0.655,0.145
AT000339,614.652,463.464,265.628,4.004,54.451,2.725,0.674,0.161
AT000340,1038.333,615.961,218.839,5.258,35.771,3.658,0.555,0.18
AT000341,985.376,682.797,236.228,6.888,26.612,10.902,0.534,0.216
AT000342,717.24,369.88,234.065,7.45,23.48,9.801,0.544,0.175
AT000343,782.609,347.034,187.297,6.99,28.195,7.867,0.653,0.197
AT000344,884.622,357.607,199.623,7.879,18.087,8.988,0.633,0.13
AT000345,519.464,308.389,193.847,7.562,14.386,4.11,0.651,0.085
AT000346,473.281,331.538,227.776,2.452,73.192,0.088,0.841,0.14
AT000347,455.239,279.177,192.458,3.344,53.636,0.03,0.609,0.141
AT000348,4020.411,798.907,159.333,10.049,36.152,24.922,0.542,0.185
AT000349,518.264,355.131,170.367,10.938,4.587,21.141,0.583,0.072
AT000351,537.996,361.357,249.844,8.699,7.096,6.576,0.627,0.0
AT000352,648.144,356.456,192.697,8.64,12.419,10.452,0.634,0.135
AT000353,884.622,520.437,374.961,9.564,6.83,15.712,0.659,0.048
AT000354,884.622,474.33,255.811,10.461,7.14,20.752,0.609,0.165
AT000355,884.622,421.097,198.573,8.478,24.098,15.742,0.578,0.193
AT000356,1085.679,586.015,340.148,14.63,4.411,44.051,0.65,0.129
AT000357,1085.679,545.512,284.57,13.179,6.986,37.084,0.605,0.134
AT000358,662.053,415.785,231.673,9.401,11.935,18.103,0.571,0.144
AT000360,562.134,265.8,180.841,3.385,69.484,3.376,0.429,0.0
AT000361,1085.679,378.915,159.711,7.253,41.36,15.717,0.668,0.197
AT000363,1529.162,753.592,484.576,20.48,1.202,76.952,0.613,0.111
AT000364,1529.162,709.777,388.158,18.691,2.48,68.01,0.804,0.138
AT000365,1529.162,680.679,309.355,17.664,3.866,62.037,0.569,0.169
AT000367,1529.162,626.428,221.966,15.391,15.295,53.264,0.45,0.198
AT000368,1529.162,455.114,152.019,9.556,47.315,32.021,0.361,0.26
AT000369,4020.411,788.187,138.683,9.971,36.428,24.699,0.532,0.186
